user_id,mood_selected,message_text,stress_level,sleep_hours,work_pressure,social_support,energy_level,preferred_relief,sentiment_score,task1,task2,task3,task4
1,overthinking,I can't stop thinking about past mistakes.,9,3.8,4,6,9,suggestions,0.49,digital_detox,mindfulness_exercise,short_walk,watch_funny_video
2,lonely,I miss having meaningful conversations.,7,4.1,3,7,8,guided_steps,-0.22,positive_affirmation,stretch_body,nature_break,gratitude_list
3,lonely,I feel like I don't have anyone to talk to today.,8,7.2,1,8,1,suggestions,0.86,watch_funny_video,gratitude_list,nature_break,digital_detox
4,overthinking,My mind keeps replaying the same thoughts again and again.,10,8.7,6,9,10,light_humor,0.4,positive_affirmation,nature_break,gratitude_list,stretch_body
5,overthinking,I keep analyzing everything too much.,3,5.9,7,6,5,quick_exercises,0.24,drink_water,deep_breathing,short_walk,write_journal
6,overthinking,My mind keeps replaying the same thoughts again and again.,2,6.9,9,7,5,suggestions,-0.33,short_walk,watch_funny_video,drink_water,nature_break
7,sad,I feel emotionally drained and down.,1,6.8,9,7,2,guided_steps,-0.36,drink_water,mindfulness_exercise,listen_music,call_friend
8,anxious,My heart is racing and I can't calm down.,4,4.7,4,6,2,guided_steps,0.5,watch_funny_video,mindfulness_exercise,positive_affirmation,digital_detox
9,stressed,My deadlines are piling up and I can't relax.,10,7.8,3,8,7,light_humor,-0.09,write_journal,digital_detox,watch_funny_video,nature_break
10,burned_out,I can't focus anymore and everything feels tiring.,7,7.5,5,10,5,quotes,0.46,gratitude_list,write_journal,positive_affirmation,digital_detox
11,angry,I feel frustrated and irritated about what happened.,4,8.1,1,2,9,light_humor,-0.43,listen_music,stretch_body,gratitude_list,write_journal
12,burned_out,I can't focus anymore and everything feels tiring.,7,4.9,6,8,3,light_humor,0.72,listen_music,positive_affirmation,nature_break,5_min_meditation
13,lonely,I feel like I don't have anyone to talk to today.,7,6.1,8,7,8,suggestions,-0.03,gratitude_list,nature_break,digital_detox,listen_music
14,overthinking,My brain won't switch off from constant thinking.,8,6.7,7,5,9,quotes,0.34,call_friend,short_walk,gratitude_list,digital_detox
15,lonely,I feel isolated even when people are around.,3,3.3,10,5,8,quick_exercises,0.25,drink_tea,deep_breathing,5_min_meditation,nature_break
16,sad,I feel really low today and don't have motivation.,5,4.3,10,2,5,light_humor,-0.06,positive_affirmation,write_journal,gratitude_list,drink_tea
17,overthinking,My mind keeps replaying the same thoughts again and again.,4,8.0,9,2,3,suggestions,0.51,digital_detox,watch_funny_video,deep_breathing,mindfulness_exercise
18,lonely,I miss having meaningful conversations.,10,6.2,4,8,6,quick_exercises,0.85,listen_music,mindfulness_exercise,nature_break,watch_funny_video
19,stressed,I feel pressure from work and my mind won't slow down.,10,5.5,10,1,9,quick_exercises,0.38,5_min_meditation,nature_break,drink_water,gratitude_list
20,sad,I feel really low today and don't have motivation.,9,3.2,3,8,7,guided_steps,0.23,drink_water,short_walk,listen_music,watch_funny_video
21,lonely,I wish someone understood how I feel.,8,5.6,6,9,9,suggestions,0.14,short_walk,drink_water,deep_breathing,mindfulness_exercise
22,stressed,My deadlines are piling up and I can't relax.,7,4.9,5,9,9,light_humor,-0.71,mindfulness_exercise,digital_detox,short_walk,gratitude_list
23,burned_out,I feel completely burned out from work and responsibilities.,6,3.5,7,4,5,light_humor,-0.13,deep_breathing,gratitude_list,stretch_body,drink_water
24,burned_out,I feel exhausted and mentally drained.,4,8.7,10,8,8,quotes,0.34,watch_funny_video,mindfulness_exercise,stretch_body,gratitude_list
25,overthinking,I can't stop thinking about past mistakes.,10,3.6,7,7,7,quick_exercises,0.12,deep_breathing,listen_music,5_min_meditation,gratitude_list
26,stressed,I keep thinking about everything I have to do and it's exhausting.,8,4.0,10,8,2,quick_exercises,-0.32,stretch_body,5_min_meditation,mindfulness_exercise,write_journal
27,overthinking,I can't stop thinking about past mistakes.,10,5.2,6,2,3,quick_exercises,-0.69,5_min_meditation,short_walk,drink_water,digital_detox
28,angry,I can't stop thinking about something that made me angry.,2,7.4,7,9,5,light_humor,0.52,drink_tea,5_min_meditation,write_journal,gratitude_list
29,stressed,I have too many things to finish today and I feel overwhelmed.,1,5.4,5,4,9,suggestions,0.71,stretch_body,drink_water,5_min_meditation,listen_music
30,stressed,My deadlines are piling up and I can't relax.,8,3.4,1,6,10,quotes,-0.54,5_min_meditation,positive_affirmation,watch_funny_video,nature_break
31,stressed,My deadlines are piling up and I can't relax.,8,5.4,9,10,3,light_humor,0.06,short_walk,mindfulness_exercise,stretch_body,call_friend
32,angry,I'm really upset and it's hard to calm down.,8,6.2,2,9,2,quick_exercises,-0.72,write_journal,drink_water,listen_music,deep_breathing
33,sad,I can't seem to shake this sadness.,1,5.3,1,6,2,quick_exercises,0.5,nature_break,5_min_meditation,short_walk,write_journal
34,sad,I feel really low today and don't have motivation.,4,8.4,7,10,5,quotes,0.07,stretch_body,listen_music,nature_break,deep_breathing
35,anxious,My heart is racing and I can't calm down.,4,8.5,2,5,5,light_humor,0.89,watch_funny_video,gratitude_list,deep_breathing,positive_affirmation
36,overthinking,My mind keeps replaying the same thoughts again and again.,7,4.1,1,2,10,guided_steps,0.51,nature_break,listen_music,stretch_body,5_min_meditation
37,stressed,I feel pressure from work and my mind won't slow down.,10,4.5,10,6,5,quotes,-0.18,watch_funny_video,nature_break,stretch_body,listen_music
38,angry,I feel tense and annoyed with everyone today.,6,8.7,5,8,5,quotes,-0.12,positive_affirmation,stretch_body,short_walk,drink_tea
39,burned_out,I feel exhausted and mentally drained.,10,5.1,9,10,4,light_humor,0.02,short_walk,digital_detox,drink_tea,listen_music
40,angry,I feel tense and annoyed with everyone today.,1,5.2,5,8,7,suggestions,0.09,positive_affirmation,short_walk,stretch_body,5_min_meditation
41,sad,I feel really low today and don't have motivation.,1,7.2,2,3,9,light_humor,0.19,stretch_body,nature_break,call_friend,digital_detox
42,angry,I'm really upset and it's hard to calm down.,10,5.2,10,7,7,suggestions,-0.83,listen_music,write_journal,5_min_meditation,drink_tea
43,sad,I can't seem to shake this sadness.,5,5.2,10,7,4,suggestions,0.89,positive_affirmation,deep_breathing,mindfulness_exercise,short_walk
44,stressed,I have too many things to finish today and I feel overwhelmed.,6,5.6,5,3,3,light_humor,-0.81,watch_funny_video,listen_music,mindfulness_exercise,gratitude_list
