user_id,mood_selected,message_text,stress_level,sleep_hours,work_pressure,social_support,energy_level,preferred_relief,sentiment_score,task1,task2,task3,task4,ai_reply
1,overthinking,I can't stop thinking about past mistakes.,9,3.8,4,6,9,suggestions,0.49,digital_detox,mindfulness_exercise,short_walk,watch_funny_video,"Your brain is running in circles trying to protect you, but you can put the thoughts down now. Let's redirect that energy into these simple, mindful actions."
2,lonely,I miss having meaningful conversations.,7,4.1,3,7,8,guided_steps,-0.22,positive_affirmation,stretch_body,nature_break,gratitude_list,"Loneliness can ache so deeply. I hear your longing for connection. Let's gently bridge that gap with some loving, intentional activities today."
3,lonely,I feel like I don't have anyone to talk to today.,8,7.2,1,8,1,suggestions,0.86,watch_funny_video,gratitude_list,nature_break,digital_detox,"Your presence matters in this world. When the silence feels too loud, I hope these recommendations bring you a sense of warmth and companionship."
4,overthinking,My mind keeps replaying the same thoughts again and again.,10,8.7,6,9,10,light_humor,0.4,positive_affirmation,nature_break,gratitude_list,stretch_body,You've been carrying a heavy mental load. It's time to let your mind rest. Focus only on the step in front of you—I've laid them out for you here.
5,overthinking,I keep analyzing everything too much.,3,5.9,7,6,5,quick_exercises,0.24,drink_water,deep_breathing,short_walk,write_journal,You've been carrying a heavy mental load. It's time to let your mind rest. Focus only on the step in front of you—I've laid them out for you here.
6,overthinking,My mind keeps replaying the same thoughts again and again.,2,6.9,9,7,5,suggestions,-0.33,short_walk,watch_funny_video,drink_water,nature_break,"Your brain is running in circles trying to protect you, but you can put the thoughts down now. Let's redirect that energy into these simple, mindful actions."
7,sad,I feel emotionally drained and down.,1,6.8,9,7,2,guided_steps,-0.36,drink_water,mindfulness_exercise,listen_music,call_friend,"Some days just require extra gentleness and self-compassion. I hold space for your sadness. Whenever you're ready, here are a few tiny steps that might bring a sliver of light."
8,anxious,My heart is racing and I can't calm down.,4,4.7,4,6,2,guided_steps,0.5,watch_funny_video,mindfulness_exercise,positive_affirmation,digital_detox,Anxiety can make everything feel urgent and loud. I'm right here with you. These steps are designed to gently ground you back into the present moment.
9,stressed,My deadlines are piling up and I can't relax.,10,7.8,3,8,7,light_humor,-0.09,write_journal,digital_detox,watch_funny_video,nature_break,It's completely normal to feel overwhelmed when there's so much on your plate. I've put together a few things to help you find your footing right now.
10,burned_out,I can't focus anymore and everything feels tiring.,7,7.5,5,10,5,quotes,0.46,gratitude_list,write_journal,positive_affirmation,digital_detox,You are allowed to step back. You are allowed to rest. Try to set boundaries around your peace today by engaging in these replenishing activities.
11,angry,I feel frustrated and irritated about what happened.,4,8.1,1,2,9,light_humor,-0.43,listen_music,stretch_body,gratitude_list,write_journal,"It's completely valid that you feel frustrated about this. Rather than bottling it up, let's allow it to move through you carefully with these focused actions."
12,burned_out,I can't focus anymore and everything feels tiring.,7,4.9,6,8,3,light_humor,0.72,listen_music,positive_affirmation,nature_break,5_min_meditation,You are allowed to step back. You are allowed to rest. Try to set boundaries around your peace today by engaging in these replenishing activities.
13,lonely,I feel like I don't have anyone to talk to today.,7,6.1,8,7,8,suggestions,-0.03,gratitude_list,nature_break,digital_detox,listen_music,"Loneliness can ache so deeply. I hear your longing for connection. Let's gently bridge that gap with some loving, intentional activities today."
14,overthinking,My brain won't switch off from constant thinking.,8,6.7,7,5,9,quotes,0.34,call_friend,short_walk,gratitude_list,digital_detox,"When the 'what-ifs' take over, the best antidote is right here in the present moment. I've designed this plan to bring your focus back to the now."
15,lonely,I feel isolated even when people are around.,3,3.3,10,5,8,quick_exercises,0.25,drink_tea,deep_breathing,5_min_meditation,nature_break,"Loneliness can ache so deeply. I hear your longing for connection. Let's gently bridge that gap with some loving, intentional activities today."
16,sad,I feel really low today and don't have motivation.,5,4.3,10,2,5,light_humor,-0.06,positive_affirmation,write_journal,gratitude_list,drink_tea,"You are seen, and your feelings matter. Let's not try to fix everything at once. Let's just focus on these tender, restorative actions instead."
17,overthinking,My mind keeps replaying the same thoughts again and again.,4,8.0,9,2,3,suggestions,0.51,digital_detox,watch_funny_video,deep_breathing,mindfulness_exercise,You've been carrying a heavy mental load. It's time to let your mind rest. Focus only on the step in front of you—I've laid them out for you here.
18,lonely,I miss having meaningful conversations.,10,6.2,4,8,6,quick_exercises,0.85,listen_music,mindfulness_exercise,nature_break,watch_funny_video,"Your presence matters in this world. When the silence feels too loud, I hope these recommendations bring you a sense of warmth and companionship."
19,stressed,I feel pressure from work and my mind won't slow down.,10,5.5,10,1,9,quick_exercises,0.38,5_min_meditation,nature_break,drink_water,gratitude_list,"I hear you. The pressure you're feeling is valid, but you don't have to carry it all at once. Let's take a breath and look at these gentle steps together."
20,sad,I feel really low today and don't have motivation.,9,3.2,3,8,7,guided_steps,0.23,drink_water,short_walk,listen_music,watch_funny_video,I'm so sorry you're feeling this weight today. It's okay to feel sad—you don't have to rush through it. Here are some gentle ways to care for yourself right now.
21,lonely,I wish someone understood how I feel.,8,5.6,6,9,9,suggestions,0.14,short_walk,drink_water,deep_breathing,mindfulness_exercise,"Your presence matters in this world. When the silence feels too loud, I hope these recommendations bring you a sense of warmth and companionship."
22,stressed,My deadlines are piling up and I can't relax.,7,4.9,5,9,9,light_humor,-0.71,mindfulness_exercise,digital_detox,short_walk,gratitude_list,"Your mind is racing, and that's exhausting. You deserve a moment of pure calm. Try these simple tasks to loosen the tension you're holding."
23,burned_out,I feel completely burned out from work and responsibilities.,6,3.5,7,4,5,light_humor,-0.13,deep_breathing,gratitude_list,stretch_body,drink_water,"Your exhaustion is a signal, not a failure. It's time to pause and replenish your energy. Let's focus purely on gentle recovery today."
24,burned_out,I feel exhausted and mentally drained.,4,8.7,10,8,8,quotes,0.34,watch_funny_video,mindfulness_exercise,stretch_body,gratitude_list,"You've been giving so much, and your well is running dry. Rest is not a reward; it is a necessity. Please take permission to recharge with these restorative steps."
25,overthinking,I can't stop thinking about past mistakes.,10,3.6,7,7,7,quick_exercises,0.12,deep_breathing,listen_music,5_min_meditation,gratitude_list,"When the 'what-ifs' take over, the best antidote is right here in the present moment. I've designed this plan to bring your focus back to the now."
26,stressed,I keep thinking about everything I have to do and it's exhausting.,8,4.0,10,8,2,quick_exercises,-0.32,stretch_body,5_min_meditation,mindfulness_exercise,write_journal,"I hear you. The pressure you're feeling is valid, but you don't have to carry it all at once. Let's take a breath and look at these gentle steps together."
27,overthinking,I can't stop thinking about past mistakes.,10,5.2,6,2,3,quick_exercises,-0.69,5_min_meditation,short_walk,drink_water,digital_detox,"When the 'what-ifs' take over, the best antidote is right here in the present moment. I've designed this plan to bring your focus back to the now."
28,angry,I can't stop thinking about something that made me angry.,2,7.4,7,9,5,light_humor,0.52,drink_tea,5_min_meditation,write_journal,gratitude_list,"It's completely valid that you feel frustrated about this. Rather than bottling it up, let's allow it to move through you carefully with these focused actions."
29,stressed,I have too many things to finish today and I feel overwhelmed.,1,5.4,5,4,9,suggestions,0.71,stretch_body,drink_water,5_min_meditation,listen_music,It's completely normal to feel overwhelmed when there's so much on your plate. I've put together a few things to help you find your footing right now.
30,stressed,My deadlines are piling up and I can't relax.,8,3.4,1,6,10,quotes,-0.54,5_min_meditation,positive_affirmation,watch_funny_video,nature_break,It's completely normal to feel overwhelmed when there's so much on your plate. I've put together a few things to help you find your footing right now.
31,stressed,My deadlines are piling up and I can't relax.,8,5.4,9,10,3,light_humor,0.06,short_walk,mindfulness_exercise,stretch_body,call_friend,"I hear you. The pressure you're feeling is valid, but you don't have to carry it all at once. Let's take a breath and look at these gentle steps together."
32,angry,I'm really upset and it's hard to calm down.,8,6.2,2,9,2,quick_exercises,-0.72,write_journal,drink_water,listen_music,deep_breathing,I hear the tension and frustration in your words. It is safe to release it now. Follow these guided steps to process the heat and return to a cooler state.
33,sad,I can't seem to shake this sadness.,1,5.3,1,6,2,quick_exercises,0.5,nature_break,5_min_meditation,short_walk,write_journal,"Some days just require extra gentleness and self-compassion. I hold space for your sadness. Whenever you're ready, here are a few tiny steps that might bring a sliver of light."
34,sad,I feel really low today and don't have motivation.,4,8.4,7,10,5,quotes,0.07,stretch_body,listen_music,nature_break,deep_breathing,"You are seen, and your feelings matter. Let's not try to fix everything at once. Let's just focus on these tender, restorative actions instead."
35,anxious,My heart is racing and I can't calm down.,4,8.5,2,5,5,light_humor,0.89,watch_funny_video,gratitude_list,deep_breathing,positive_affirmation,Anxiety can make everything feel urgent and loud. I'm right here with you. These steps are designed to gently ground you back into the present moment.
36,overthinking,My mind keeps replaying the same thoughts again and again.,7,4.1,1,2,10,guided_steps,0.51,nature_break,listen_music,stretch_body,5_min_meditation,You've been carrying a heavy mental load. It's time to let your mind rest. Focus only on the step in front of you—I've laid them out for you here.
37,stressed,I feel pressure from work and my mind won't slow down.,10,4.5,10,6,5,quotes,-0.18,watch_funny_video,nature_break,stretch_body,listen_music,"I hear you. The pressure you're feeling is valid, but you don't have to carry it all at once. Let's take a breath and look at these gentle steps together."
38,angry,I feel tense and annoyed with everyone today.,6,8.7,5,8,5,quotes,-0.12,positive_affirmation,stretch_body,short_walk,drink_tea,I hear the tension and frustration in your words. It is safe to release it now. Follow these guided steps to process the heat and return to a cooler state.
39,burned_out,I feel exhausted and mentally drained.,10,5.1,9,10,4,light_humor,0.02,short_walk,digital_detox,drink_tea,listen_music,"Your exhaustion is a signal, not a failure. It's time to pause and replenish your energy. Let's focus purely on gentle recovery today."
40,angry,I feel tense and annoyed with everyone today.,1,5.2,5,8,7,suggestions,0.09,positive_affirmation,short_walk,stretch_body,5_min_meditation,I hear the tension and frustration in your words. It is safe to release it now. Follow these guided steps to process the heat and return to a cooler state.
41,sad,I feel really low today and don't have motivation.,1,7.2,2,3,9,light_humor,0.19,stretch_body,nature_break,call_friend,digital_detox,"You are seen, and your feelings matter. Let's not try to fix everything at once. Let's just focus on these tender, restorative actions instead."
42,angry,I'm really upset and it's hard to calm down.,10,5.2,10,7,7,suggestions,-0.83,listen_music,write_journal,5_min_meditation,drink_tea,I hear the tension and frustration in your words. It is safe to release it now. Follow these guided steps to process the heat and return to a cooler state.
43,sad,I can't seem to shake this sadness.,5,5.2,10,7,4,suggestions,0.89,positive_affirmation,deep_breathing,mindfulness_exercise,short_walk,"Some days just require extra gentleness and self-compassion. I hold space for your sadness. Whenever you're ready, here are a few tiny steps that might bring a sliver of light."
44,stressed,I have too many things to finish today and I feel overwhelmed.,6,5.6,5,3,3,light_humor,-0.81,watch_funny_video,listen_music,mindfulness_exercise,gratitude_list,It's completely normal to feel overwhelmed when there's so much on your plate. I've put together a few things to help you find your footing right now.
45,burned_out,I can't focus anymore and everything feels tiring.,1,4.0,10,9,7,guided_steps,0.37,5_min_meditation,stretch_body,mindfulness_exercise,drink_water,"Your exhaustion is a signal, not a failure. It's time to pause and replenish your energy. Let's focus purely on gentle recovery today."
46,stressed,My deadlines are piling up and I can't relax.,3,6.0,2,4,8,quick_exercises,0.65,write_journal,short_walk,nature_break,mindfulness_exercise,It's completely normal to feel overwhelmed when there's so much on your plate. I've put together a few things to help you find your footing right now.
47,overthinking,My brain won't switch off from constant thinking.,3,8.4,4,10,6,suggestions,0.92,5_min_meditation,gratitude_list,drink_water,drink_tea,You've been carrying a heavy mental load. It's time to let your mind rest. Focus only on the step in front of you—I've laid them out for you here.
48,burned_out,I have no energy left to deal with anything.,6,7.3,5,3,10,quotes,0.12,watch_funny_video,drink_tea,short_walk,nature_break,You are allowed to step back. You are allowed to rest. Try to set boundaries around your peace today by engaging in these replenishing activities.
49,lonely,I wish someone understood how I feel.,1,8.5,2,1,1,light_humor,-0.95,digital_detox,gratitude_list,write_journal,deep_breathing,"Loneliness can ache so deeply. I hear your longing for connection. Let's gently bridge that gap with some loving, intentional activities today."
50,sad,Everything feels heavy and I just want to stay quiet.,8,5.2,8,2,3,quick_exercises,-0.17,deep_breathing,positive_affirmation,drink_water,digital_detox,"You are seen, and your feelings matter. Let's not try to fix everything at once. Let's just focus on these tender, restorative actions instead."
51,anxious,I feel tense and uneasy for no clear reason.,1,5.2,9,3,8,suggestions,0.35,listen_music,stretch_body,drink_water,deep_breathing,"Your nervous system is working overtime right now. It's safe to slow down. I recommend these small, grounding exercises to help you feel secure."
52,lonely,I wish someone understood how I feel.,2,5.5,2,2,8,guided_steps,0.08,drink_tea,mindfulness_exercise,digital_detox,write_journal,"Your presence matters in this world. When the silence feels too loud, I hope these recommendations bring you a sense of warmth and companionship."
53,anxious,I keep worrying about small things and can't focus.,9,8.7,2,10,6,quotes,-0.99,drink_water,call_friend,mindfulness_exercise,write_journal,"Your nervous system is working overtime right now. It's safe to slow down. I recommend these small, grounding exercises to help you feel secure."
54,angry,I feel tense and annoyed with everyone today.,4,4.1,2,8,10,light_humor,0.5,drink_tea,deep_breathing,5_min_meditation,listen_music,"Your anger is a protective force, and it's okay to feel it. But holding onto it can burn you. Let's channel that fire safely through these grounding exercises."
55,stressed,I feel pressure from work and my mind won't slow down.,9,8.8,5,5,6,suggestions,0.38,gratitude_list,short_walk,write_journal,nature_break,"Your mind is racing, and that's exhausting. You deserve a moment of pure calm. Try these simple tasks to loosen the tension you're holding."
56,overthinking,My brain won't switch off from constant thinking.,3,3.9,7,9,5,suggestions,-0.9,drink_water,gratitude_list,digital_detox,short_walk,You've been carrying a heavy mental load. It's time to let your mind rest. Focus only on the step in front of you—I've laid them out for you here.
57,stressed,I feel pressure from work and my mind won't slow down.,10,3.6,9,6,8,suggestions,0.99,short_walk,mindfulness_exercise,stretch_body,nature_break,It's completely normal to feel overwhelmed when there's so much on your plate. I've put together a few things to help you find your footing right now.
58,sad,I feel emotionally drained and down.,3,8.3,9,1,7,quotes,0.18,gratitude_list,stretch_body,listen_music,drink_tea,"You are seen, and your feelings matter. Let's not try to fix everything at once. Let's just focus on these tender, restorative actions instead."
59,stressed,I have too many things to finish today and I feel overwhelmed.,6,4.9,5,10,6,quotes,0.38,mindfulness_exercise,call_friend,write_journal,nature_break,"Your mind is racing, and that's exhausting. You deserve a moment of pure calm. Try these simple tasks to loosen the tension you're holding."
60,burned_out,I feel exhausted and mentally drained.,4,8.7,9,10,6,guided_steps,0.47,mindfulness_exercise,nature_break,listen_music,call_friend,You are allowed to step back. You are allowed to rest. Try to set boundaries around your peace today by engaging in these replenishing activities.
61,overthinking,I can't stop thinking about past mistakes.,10,6.0,1,2,10,quotes,0.5,watch_funny_video,short_walk,deep_breathing,stretch_body,You've been carrying a heavy mental load. It's time to let your mind rest. Focus only on the step in front of you—I've laid them out for you here.
62,angry,I feel tense and annoyed with everyone today.,10,7.4,8,3,1,quotes,-0.93,call_friend,drink_water,positive_affirmation,write_journal,"Your anger is a protective force, and it's okay to feel it. But holding onto it can burn you. Let's channel that fire safely through these grounding exercises."
63,lonely,I wish someone understood how I feel.,4,9.0,3,9,4,quick_exercises,0.53,5_min_meditation,positive_affirmation,deep_breathing,listen_music,"Loneliness can ache so deeply. I hear your longing for connection. Let's gently bridge that gap with some loving, intentional activities today."
64,sad,I can't seem to shake this sadness.,7,6.9,7,2,10,quick_exercises,0.75,deep_breathing,listen_music,short_walk,gratitude_list,I'm so sorry you're feeling this weight today. It's okay to feel sad—you don't have to rush through it. Here are some gentle ways to care for yourself right now.
65,burned_out,I can't focus anymore and everything feels tiring.,8,5.4,6,8,4,quotes,0.42,nature_break,drink_water,deep_breathing,mindfulness_exercise,"Your exhaustion is a signal, not a failure. It's time to pause and replenish your energy. Let's focus purely on gentle recovery today."
66,overthinking,My mind keeps replaying the same thoughts again and again.,1,6.3,3,5,10,light_humor,-0.96,digital_detox,listen_music,write_journal,stretch_body,"Your brain is running in circles trying to protect you, but you can put the thoughts down now. Let's redirect that energy into these simple, mindful actions."
67,sad,Everything feels heavy and I just want to stay quiet.,8,7.1,2,5,3,suggestions,-0.42,mindfulness_exercise,stretch_body,5_min_meditation,deep_breathing,I'm so sorry you're feeling this weight today. It's okay to feel sad—you don't have to rush through it. Here are some gentle ways to care for yourself right now.
68,lonely,I miss having meaningful conversations.,6,6.2,1,2,7,suggestions,-0.79,short_walk,drink_tea,stretch_body,listen_music,"Your presence matters in this world. When the silence feels too loud, I hope these recommendations bring you a sense of warmth and companionship."
69,overthinking,I can't stop thinking about past mistakes.,7,5.6,4,10,7,quotes,0.73,stretch_body,mindfulness_exercise,short_walk,nature_break,You've been carrying a heavy mental load. It's time to let your mind rest. Focus only on the step in front of you—I've laid them out for you here.
70,sad,I can't seem to shake this sadness.,7,8.1,5,4,4,light_humor,0.66,deep_breathing,watch_funny_video,drink_tea,write_journal,"Some days just require extra gentleness and self-compassion. I hold space for your sadness. Whenever you're ready, here are a few tiny steps that might bring a sliver of light."
71,angry,I'm really upset and it's hard to calm down.,1,7.7,8,4,4,quick_exercises,-0.49,deep_breathing,mindfulness_exercise,write_journal,nature_break,"Your anger is a protective force, and it's okay to feel it. But holding onto it can burn you. Let's channel that fire safely through these grounding exercises."
72,overthinking,I keep analyzing everything too much.,4,7.2,8,6,3,quotes,0.0,5_min_meditation,positive_affirmation,gratitude_list,call_friend,"Your brain is running in circles trying to protect you, but you can put the thoughts down now. Let's redirect that energy into these simple, mindful actions."
